request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today and keep the IDR 24768300 minimum protected over the forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today and keep the ZAR 20500 minimum protected over the forecast.
request_28,497.4,affordable_later,wait,2024-06-14:1302.4,2024-06-14,none,"Wait until 2024-06-14, when EUR 1302.4 is forecast safe while protecting the EUR 1100 minimum."
request_29,48468.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-23; no eligible safe plan keeps the ZAR 28300 minimum protected.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Pay USD 775.2 today and keep the USD 900 minimum protected over the forecast.
request_31,6601767.87,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15, when IDR 18164000 is forecast safe while protecting the IDR 16588900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15; no eligible safe plan keeps the ZAR 35700 minimum protected.
request_33,65180,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Wait until 2026-01-14, when INR 118000 is forecast safe while protecting the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today and keep the INR 138500 minimum protected over the forecast.
request_35,57979.73,affordable_later,wait,2025-12-16:212000,2025-12-16,none,"Wait until 2025-12-16, when INR 212000 is forecast safe while protecting the INR 106400 minimum."
request_36,1179.99,affordable_later,wait,2026-08-16:3954,2026-08-16,none,"Wait until 2026-08-16, when USD 3954 is forecast safe while protecting the USD 2400 minimum."
request_37,7779491.51,affordable_later,wait,2024-03-17:14649000,2024-03-17,none,"Wait until 2024-03-17, when IDR 14649000 is forecast safe while protecting the IDR 17056200 minimum."
request_38,303.4,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,"Wait until 2025-09-13, when EUR 971.3 is forecast safe while protecting the EUR 400 minimum."
request_39,159330.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-15; no eligible safe plan keeps the INR 213400 minimum protected.
request_40,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15; no eligible safe plan keeps the EUR 1500 minimum protected.
request_41,16984515.04,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Wait until 2025-11-15, when IDR 38760000 is forecast safe while protecting the IDR 25366600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today and keep the INR 113100 minimum protected over the forecast.
request_43,12361117.18,affordable_later,wait,2024-10-13:43339000,2024-10-13,none,"Wait until 2024-10-13, when IDR 43339000 is forecast safe while protecting the IDR 21398000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15; no eligible safe plan keeps the INR 82900 minimum protected.
request_45,6902495.35,affordable_later,wait,2026-08-16:21983000,2026-08-16,none,"Wait until 2026-08-16, when IDR 21983000 is forecast safe while protecting the IDR 11149800 minimum."
request_46,49450,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,Pay INR 49450 today and keep the INR 84000 minimum protected over the forecast.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today and keep the IDR 30049000 minimum protected over the forecast.
request_48,15915.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-24; no eligible safe plan keeps the INR 71300 minimum protected.
request_49,18212211.64,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-17,none,Use installments to complete IDR 34333000 by 2024-05-19 while protecting the IDR 20275700 minimum.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today and keep the INR 99700 minimum protected over the forecast.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today and keep the IDR 7811000 minimum protected over the forecast.
request_52,26970,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 2024-06-14, when INR 28870 is forecast safe while protecting the INR 41500 minimum."
request_53,791.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Use installments to complete USD 1699.2 by 2026-01-16 while protecting the USD 2100 minimum.
request_54,8842.66,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21; no eligible safe plan keeps the ZAR 37000 minimum protected.
request_55,160691.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,Use installments to complete INR 218600 by 2026-08-12 while protecting the INR 124300 minimum.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Pay USD 881.56 today and keep the USD 2100 minimum protected over the forecast.
request_57,18154.04,affordable_later,wait,2026-05-14:61446,2026-05-14,none,"Wait until 2026-05-14, when ZAR 61446 is forecast safe while protecting the ZAR 42700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today and keep the IDR 14433900 minimum protected over the forecast.
request_59,140600,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,Pay INR 140600 today and keep the INR 132600 minimum protected over the forecast.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today and keep the USD 400 minimum protected over the forecast.
request_61,29062,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,Pay ZAR 29062 today and keep the ZAR 36700 minimum protected over the forecast.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today and keep the USD 1300 minimum protected over the forecast.
request_63,72886.21,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-17; no eligible safe plan keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16; no eligible safe plan keeps the INR 36100 minimum protected.
request_65,9602.04,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25; no eligible safe plan keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today and keep the INR 80700 minimum protected over the forecast.
request_67,672.22,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Wait until 2024-09-15, when USD 2094 is forecast safe while protecting the USD 1200 minimum."
request_68,1979.83,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-25,none,Use installments to complete USD 2091.6 by 2025-04-11 while protecting the USD 1500 minimum.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today and keep the EUR 700 minimum protected over the forecast.
request_70,62404.5,affordable_later,wait,2025-01-16:243900,2025-01-16,none,"Wait until 2025-01-16, when INR 243900 is forecast safe while protecting the INR 115000 minimum."
request_71,2822029.68,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-28; no eligible safe plan keeps the IDR 8884800 minimum protected.
request_72,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-14; no eligible safe plan keeps the ZAR 12200 minimum protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today and keep the INR 103200 minimum protected over the forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today and keep the ZAR 21900 minimum protected over the forecast.
request_75,28270,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,Pay ZAR 28270 today and keep the ZAR 39000 minimum protected over the forecast.
request_76,1372.06,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30; no eligible safe plan keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today and keep the INR 82200 minimum protected over the forecast.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today and keep the INR 55200 minimum protected over the forecast.
